,,,,,,,,,,,,,,,,,,,,,,,
Player,02/02/2019,04/02/2019,06/02/2019,08/02/2019,10/02/2019,12/02/2019,14/02/2019,16/02/2019,18/02/2019,20/02/2019,22/02/2019,24/02/2019,26/02/2019,28/02/2019,Column15,Column16,Total Wins,Losses,War Battles Participated in,Missed Collection Days,Missed War Matches,Points,Win Rate
Toshboy,1,2,1,1,1,1,1,1,1,1,1,,,,,,12,0,12,0,0,0,100.00%
CKY - Ew3n,1,1,1,1,1,1,1,1,1,1,1,,,,,,11,0,11,0,0,0,100.00%
CKY - King Jay,1,1,1,1,1,1,1,1,1,1,1,,,,,,11,0,11,0,0,0,100.00%
Liam,1,1,x,1,x,1,1,1,x,1,x,,,,,,7,0,7,2,0,50,100.00%
ZooVier,1,1,x,1,x,x,x,x,x,X,x,,,,,,3,0,3,0,0,0,100.00%
CKY - Bryan,1,1,1,1,2,1,1,1,1,1,1,,,,,,12,1,13,0,0,0,92.31%
adam184,1,1,1,1,1,1,1,1,1,0,x,,,,,,9,1,10,2,0,50,90.00%
Lawrjohn15,x,x,x,1,1,1,1,2,1,0,1,,,,,,8,1,9,0,0,0,88.89%
Jjlglesias,x,1,1,1,1,1,0,1,x,1,1,,,,,,8,1,9,1,1,125,88.89%
CKY - Jellyms,1,x,x,x,x,0,1,1,1,1,1,,,,,,6,1,7,0,0,0,85.71%
jamie,0,1,1,1,1,0,1,1,1,1,1,,,,,,9,2,11,0,0,0,81.82%
LUKElovesDIC,2,1,1,0,x,1,1,1,1,0,1,,,,,,9,2,11,0,0,0,81.82%
xerxes,0,1,0,1,1,1,1,1,1,1,1,,,,,,9,2,11,0,0,0,81.82%
Get Good,1,1,1,1,1,1,1,0,1,0,1,,,,,,9,2,11,2,0,50,81.82%
Ish,1,1,0,1,1,1,0,1,1,1,1,,,,,,9,2,11,6,1,250,81.82%
CKY - CelsoV25,1,1,1,1,1,x,1,0,0,1,1,,,,,,8,2,10,0,0,0,80.00%
jinjingogo,1,1,1,0,1,1,x,1,1,0,1,,,,,,8,2,10,0,0,0,80.00%
